Wavelength	Husenicek100000.asd.ref	Husenicek100001.asd.ref	Husenicek100002.asd.ref	Husenicek100003.asd.ref	Husenicek100004.asd.ref	Husenicek100005.asd.ref	Husenicek100006.asd.ref	Husenicek100007.asd.ref	Husenicek100008.asd.ref	Husenicek100009.asd.ref	Husenicek100010.asd.ref	Husenicek100011.asd.ref	Husenicek100012.asd.ref	Husenicek100013.asd.ref	Husenicek100014.asd.ref	Husenicek100015.asd.ref	Husenicek100016.asd.ref	Husenicek100017.asd.ref	Husenicek100018.asd.ref	Husenicek100019.asd.ref	Husenicek100020.asd.ref	Husenicek100021.asd.ref	Husenicek100022.asd.ref	Husenicek100023.asd.ref	Husenicek100024.asd.ref	Husenicek100025.asd.ref	Husenicek100026.asd.ref	Husenicek100027.asd.ref	Husenicek100028.asd.ref	Husenicek100029.asd.ref	Husenicek100030.asd.ref	Husenicek100031.asd.ref	Husenicek100032.asd.ref	Husenicek100033.asd.ref	Husenicek100034.asd.ref	Husenicek100035.asd.ref	Husenicek100036.asd.ref	Husenicek100037.asd.ref	Husenicek100038.asd.ref	Husenicek100039.asd.ref	Husenicek100040.asd.ref	Husenicek100041.asd.ref	Husenicek100042.asd.ref	Husenicek100043.asd.ref	Husenicek100044.asd.ref	Husenicek100045.asd.ref	Husenicek100046.asd.ref	Husenicek100047.asd.ref	Husenicek100048.asd.ref	Husenicek100049.asd.ref	Husenicek100050.asd.ref	Husenicek100051.asd.ref	Husenicek100052.asd.ref	Husenicek100053.asd.ref	Husenicek100054.asd.ref	Husenicek100055.asd.ref	Husenicek100056.asd.ref	Husenicek100057.asd.ref	Husenicek100058.asd.ref	Husenicek100059.asd.ref	Husenicek100060.asd.ref	Husenicek100061.asd.ref	Husenicek100062.asd.ref	Husenicek100063.asd.ref	Husenicek100064.asd.ref	Husenicek100065.asd.ref	Husenicek100066.asd.ref	Husenicek100067.asd.ref	Husenicek100068.asd.ref	Husenicek100069.asd.ref	Husenicek100070.asd.ref	Husenicek100071.asd.ref	Husenicek100072.asd.ref	Husenicek100073.asd.ref	Husenicek100074.asd.ref	Husenicek100075.asd.ref	Husenicek100076.asd.ref	Husenicek100077.asd.ref	Husenicek100078.asd.ref	Husenicek100079.asd.ref	Husenicek100080.asd.ref	Husenicek100081.asd.ref	Husenicek100082.asd.ref	Husenicek100083.asd.ref	Husenicek100084.asd.ref	Husenicek100085.asd.ref	Husenicek100086.asd.ref	Husenicek100087.asd.ref	Husenicek100088.asd.ref	Husenicek100089.asd.ref	Husenicek100090.asd.ref	Husenicek100091.asd.ref	Husenicek100092.asd.ref
350	0.98631340265274	1.00646007061005	5.57713247835636E-02	4.46126982569695E-02	3.99228036403656E-02	3.76034639775753E-02	5.25987595319748E-02	5.15692979097366E-02	6.35289624333382E-02	6.11581206321716E-02	5.60819581151009E-02	6.50045648217201E-02	5.73306567966938E-02	3.98514494299889E-02	5.72111159563065E-02	5.16184233129025E-02	0.057417880743742	5.58051429688931E-02	6.10200949013233E-02	0.053227175027132	0.061284676194191	5.28729185461998E-02	4.40679676830769E-02	5.51573000848293E-02	6.36106580495834E-02	5.68681433796883E-02	6.06061667203903E-02	5.44041618704796E-02	5.48480562865734E-02	4.96816784143448E-02	4.54683303833008E-02	5.26076667010784E-02	4.89029251039028E-02	0.988228678703308	6.10777847468853E-02	5.99797666072845E-02	4.47004921734333E-02	5.50984442234039E-02	4.81010712683201E-02	6.29438012838364E-02	6.22712485492229E-02	5.87877929210663E-02	0.060762956738472	5.90667836368084E-02	5.30317351222038E-02	5.17571046948433E-02	5.68664520978928E-02	0.059393148869276	4.70110327005386E-02	1.00291335582733	7.07327947020531E-02	7.23928064107895E-02	6.73654675483704E-02	0.051555447280407	6.36734962463379E-02	7.30404555797577E-02	0.062018983066082	7.02062025666237E-02	6.40758574008942E-02	7.68066346645355E-02	6.79756850004196E-02	6.60697147250175E-02	4.79589886963367E-02	6.06217831373215E-02	0.063735656440258	1.00170564651489	5.11382035911083E-02	5.87321445345879E-02	5.51597736775875E-02	5.57506568729877E-02	5.30854351818562E-02	5.14185950160027E-02	3.24472635984421E-02	0.03067547082901	4.18251529335976E-02	4.94501180946827E-02	4.81277108192444E-02	4.21762354671955E-02	6.28478974103928E-02	5.49970492720604E-02	5.97619339823723E-02	6.24450109899044E-02	0.055557943880558	0.069263368844986	0.99935519695282	5.87770491838455E-02	7.49785453081131E-02	0.059144638478756	5.42028024792671E-02	3.85251492261887E-02	2.85852961242199E-02	5.42119517922401E-02	 5.82306794822216E-02 
351	0.988836169242859	1.00208127498627	4.52036298811436E-02	4.61104810237885E-02	3.94048132002354E-02	4.10487651824951E-02	4.64916229248047E-02	4.38408218324184E-02	0.058774046599865	5.88865466415882E-02	4.99267913401127E-02	5.64524531364441E-02	5.35917989909649E-02	4.30443659424782E-02	6.31907135248184E-02	5.36533333361149E-02	5.16212582588196E-02	6.07180371880531E-02	5.55952303111553E-02	4.48803566396236E-02	5.95495030283928E-02	4.84752617776394E-02	4.63282540440559E-02	0.047011811286211	6.07604719698429E-02	6.39406889677048E-02	6.78988769650459E-02	5.51995597779751E-02	5.82451038062572E-02	5.51500953733921E-02	5.81746771931648E-02	5.09857498109341E-02	4.81796599924564E-02	1.00333726406097	6.29845261573792E-02	0.060440868139267	5.58452904224396E-02	5.76931573450565E-02	5.44108785688877E-02	6.14187680184841E-02	6.80878162384033E-02	6.13717809319496E-02	6.40973374247551E-02	5.47086410224438E-02	5.76889701187611E-02	0.049123615026474	6.40419200062752E-02	5.86380064487457E-02	0.043785884976387	1.00657260417938	7.08906650543213E-02	7.21926540136337E-02	7.07268491387367E-02	5.16453422605991E-02	6.21592327952385E-02	7.89727345108986E-02	6.20609782636166E-02	6.56825453042984E-02	6.16546459496021E-02	7.05127641558647E-02	7.40444511175156E-02	6.65872618556023E-02	5.81259205937386E-02	6.87332823872566E-02	6.82716369628906E-02	0.996137320995331	5.05963638424873E-02	5.13953231275082E-02	5.28417453169823E-02	5.72820194065571E-02	5.16989231109619E-02	5.15536069869995E-02	2.79464963823557E-02	3.41789051890373E-02	4.08795215189457E-02	4.62615415453911E-02	4.78306114673615E-02	3.66848409175873E-02	0.064523883163929	5.31281940639019E-02	5.42205460369587E-02	5.69440312683582E-02	5.35789504647255E-02	6.59576505422592E-02	1.00429463386536	6.80956244468689E-02	6.80897682905197E-02	6.23333044350147E-02	0.052604615688324	3.77975404262543E-02	0.030539957806468	5.83846494555473E-02	 5.09313233196735E-02 
352	0.995429337024689	1.00352394580841	0.036552082747221	4.86311987042427E-02	3.72869409620762E-02	4.15992699563503E-02	4.65227738022804E-02	4.53038327395916E-02	0.061918206512928	5.62093481421471E-02	4.66328375041485E-02	5.81012256443501E-02	0.052718173712492	0.055652879178524	6.75991475582123E-02	5.63630536198616E-02	5.59162013232708E-02	5.71237578988075E-02	5.06394542753696E-02	0.059833325445652	6.29868358373642E-02	5.76464496552944E-02	5.90044185519218E-02	5.26274032890797E-02	5.49183189868927E-02	6.38931021094322E-02	0.055066142231226	5.13394065201283E-02	5.61741478741169E-02	0.048590499907732	6.54605478048325E-02	5.69463521242142E-02	4.88646812736988E-02	1.00918400287628	0.064276784658432	6.47234618663788E-02	7.00479224324226E-02	5.60868158936501E-02	5.16947247087955E-02	5.88914602994919E-02	6.71742931008339E-02	6.42578303813934E-02	6.70437514781952E-02	4.79188747704029E-02	6.23270682990551E-02	0.049098014831543	6.52358457446098E-02	4.85409386456013E-02	5.30428886413574E-02	1.00741016864777	6.77231326699257E-02	7.04109147191048E-02	6.78896531462669E-02	6.30214139819145E-02	5.55208176374435E-02	0.073559395968914	6.40073791146278E-02	6.52259588241577E-02	6.22213147580624E-02	5.91828152537346E-02	7.32232183218002E-02	5.98148442804813E-02	6.99941366910934E-02	6.81392773985863E-02	6.95213750004768E-02	1.00059127807617	4.96348217129707E-02	0.040844589471817	5.22029623389244E-02	5.40976338088512E-02	4.72069606184959E-02	5.53293451666832E-02	4.01053838431835E-02	0.040975172072649	3.83355244994164E-02	4.31996211409569E-02	4.22261767089367E-02	3.17159928381443E-02	7.00985565781593E-02	5.92220760881901E-02	6.67207464575768E-02	4.80952113866806E-02	0.053297933191061	5.42904324829578E-02	0.992807567119598	7.51262754201889E-02	6.15821368992329E-02	5.49164079129696E-02	4.46574613451958E-02	2.68835388123989E-02	4.11360934376717E-02	0.048107597976923	 5.12481741607189E-02 
353	0.996346533298492	0.994672834873199	0.038410771638155	4.74873743951321E-02	4.61402088403702E-02	3.93289364874363E-02	5.18780909478664E-02	4.36845421791077E-02	5.15464618802071E-02	4.86995652318001E-02	5.31954318284988E-02	0.056027676910162	4.88498732447624E-02	4.80632707476616E-02	5.23471757769585E-02	4.91096340119839E-02	0.046680636703968	0.056335411965847	4.70214150846004E-02	5.86199834942818E-02	4.93069440126419E-02	5.75135573744774E-02	5.86783178150654E-02	5.08874841034412E-02	5.92332296073437E-02	5.78759536147118E-02	4.86226342618465E-02	5.15112802386284E-02	5.53569979965687E-02	4.78827692568302E-02	4.43413555622101E-02	4.76525239646435E-02	0.050468523055315	1.00089871883392	5.95095306634903E-02	0.071800597012043	5.04251345992088E-02	5.22195398807526E-02	4.81680259108543E-02	5.55484257638454E-02	6.34514093399048E-02	5.85229806602001E-02	7.04156309366226E-02	5.40305525064468E-02	6.57114535570145E-02	5.24046681821346E-02	5.97155429422855E-02	4.79371547698975E-02	0.054883249104023	1.00522637367249	7.31483176350594E-02	6.53271749615669E-02	6.38685077428818E-02	0.075881265103817	7.20039904117584E-02	7.10051730275154E-02	0.062879852950573	6.49315193295479E-02	6.52381703257561E-02	6.37814104557037E-02	7.41317421197891E-02	6.40599951148033E-02	6.12131543457508E-02	7.11802318692207E-02	7.24861025810242E-02	0.986091077327728	6.14433288574219E-02	4.86992821097374E-02	5.69291077554226E-02	5.47775775194168E-02	5.24248816072941E-02	5.89536651968956E-02	3.39551940560341E-02	4.01541516184807E-02	4.80534471571445E-02	4.60341311991215E-02	4.33201938867569E-02	4.59969602525234E-02	6.60458505153656E-02	6.61607384681702E-02	6.03147149085999E-02	5.11437319219112E-02	4.62961085140705E-02	4.91994507610798E-02	0.984687924385071	6.32016882300377E-02	6.14115707576275E-02	4.76539544761181E-02	5.50847128033638E-02	3.48796136677265E-02	3.61739806830883E-02	4.68395799398422E-02	 5.76182939112186E-02 
354	0.99653160572052	0.997301340103149	4.41893488168716E-02	4.49490211904049E-02	4.57285344600677E-02	3.61058339476585E-02	0.054633941501379	4.57054227590561E-02	4.96652647852898E-02	4.80146259069443E-02	5.77292032539845E-02	5.47190196812153E-02	4.62085641920567E-02	4.27322871983051E-02	4.58571054041386E-02	4.90611046552658E-02	3.93993370234966E-02	0.05283223092556	4.77569699287415E-02	5.64573593437672E-02	5.04859425127506E-02	5.53659237921238E-02	5.79861514270306E-02	5.11649698019028E-02	5.21991811692715E-02	5.36601468920708E-02	4.41012009978294E-02	0.049716379493475	0.053721446543932	4.89525832235813E-02	4.51221205294132E-02	4.75583039224148E-02	5.43011203408241E-02	0.993607878684998	6.25967979431152E-02	6.52590990066528E-02	5.36076463758945E-02	0.048577543348074	4.93693612515926E-02	4.64314743876457E-02	5.71207255125046E-02	4.84491735696793E-02	6.64745569229126E-02	5.73142133653164E-02	6.00633472204208E-02	4.98321317136288E-02	5.96324130892754E-02	5.45918233692646E-02	5.12988232076168E-02	0.998770475387573	6.89917579293251E-02	6.67124018073082E-02	6.10089898109436E-02	0.072106271982193	6.84294849634171E-02	6.88858777284622E-02	6.08248636126518E-02	0.05913195759058	6.47034794092178E-02	6.26559257507324E-02	7.02387467026711E-02	6.17579743266106E-02	5.03547452390194E-02	6.38936311006546E-02	6.68090581893921E-02	0.988478243350983	5.91958686709404E-02	4.82678823173046E-02	5.60409910976887E-02	5.98785541951656E-02	5.27510419487953E-02	5.21501861512661E-02	3.60312275588512E-02	3.69038432836533E-02	4.63557168841362E-02	4.03400398790836E-02	4.44433987140656E-02	4.67380546033382E-02	6.84085339307785E-02	6.96760714054108E-02	5.99702037870884E-02	5.17474412918091E-02	4.82237040996552E-02	5.35027980804443E-02	0.991560995578766	5.90085126459599E-02	6.48836567997932E-02	4.90673333406448E-02	5.94248473644257E-02	3.67253236472607E-02	3.48321795463562E-02	4.99671809375286E-02	 6.19387067854404E-02 
355	0.998299658298492	1.0020672082901	4.58933636546135E-02	4.25905548036098E-02	4.06780019402504E-02	3.62445898354054E-02	5.52977435290813E-02	4.90295477211475E-02	5.52033558487892E-02	5.11206798255444E-02	5.68708665668964E-02	0.054402519017458	5.01866154372692E-02	4.16620150208473E-02	4.82795350253582E-02	5.07705807685852E-02	3.91289182007313E-02	4.95850369334221E-02	5.25510385632515E-02	5.39565235376358E-02	5.47525323927403E-02	5.41230551898479E-02	5.74409514665604E-02	5.09599447250366E-02	4.88516241312027E-02	5.37212826311588E-02	4.81347665190697E-02	5.09454347193241E-02	5.38021884858608E-02	5.18629029393196E-02	5.41616529226303E-02	5.23807667195797E-02	5.18070533871651E-02	0.991651833057404	6.31933361291885E-02	5.37059344351292E-02	6.27627298235893E-02	4.77737300097942E-02	5.27853146195412E-02	4.23202961683273E-02	5.10842204093933E-02	4.41691726446152E-02	5.81666082143784E-02	5.48610910773277E-02	5.45560345053673E-02	4.51208166778088E-02	0.05710394307971	5.83413131535053E-02	4.57294881343842E-02	0.99394702911377	6.19466602802277E-02	0.072644405066967	6.08804412186146E-02	6.20848946273327E-02	5.83499185740948E-02	6.82333260774612E-02	5.86991794407368E-02	5.59063889086246E-02	6.25225380063057E-02	5.63148036599159E-02	0.065182738006115	5.51688000559807E-02	4.81064692139626E-02	5.83856105804443E-02	5.88780529797077E-02	0.999360859394073	5.09891882538795E-02	4.29054275155067E-02	5.23168928921223E-02	6.38099536299706E-02	4.86505702137947E-02	4.51192669570446E-02	4.42520305514336E-02	3.28070968389511E-02	3.97072620689869E-02	3.67825031280518E-02	4.29916903376579E-02	3.99683490395546E-02	6.49605318903923E-02	6.61359503865242E-02	6.21173493564129E-02	5.08122406899929E-02	5.23369759321213E-02	6.01134151220322E-02	0.999814689159393	5.80683052539825E-02	6.54923468828201E-02	5.07859438657761E-02	5.79516738653183E-02	0.031845435500145	3.63902412354946E-02	5.08056096732616E-02	 5.85848540067673E-02 
356	1.00155711174011	0.99637496471405	4.00358512997627E-02	4.26482409238815E-02	0.04121408239007	4.17427457869053E-02	5.56484088301659E-02	4.91596944630146E-02	5.97633644938469E-02	5.18229380249977E-02	5.19857704639435E-02	5.48201277852058E-02	6.03544227778912E-02	4.08333912491798E-02	5.04186786711216E-02	4.53403480350971E-02	4.48051802814007E-02	5.00180758535862E-02	5.83871230483055E-02	4.96203675866127E-02	4.54515591263771E-02	5.48467040061951E-02	5.47695383429527E-02	4.69402484595776E-02	6.45516514778137E-02	5.64545430243015E-02	6.24184496700764E-02	5.93403726816177E-02	5.72894811630249E-02	0.055536363273859	4.65271212160587E-02	5.15543073415756E-02	3.81140187382698E-02	0.993950486183167	5.11624403297901E-02	0.050787765532732	5.02636022865772E-02	5.09912818670273E-02	5.38626089692116E-02	5.26357032358646E-02	4.84178699553013E-02	5.21518476307392E-02	5.26622757315636E-02	4.91870008409023E-02	5.81496246159077E-02	4.49580661952496E-02	0.044139102101326	5.14853782951832E-02	4.29031066596508E-02	0.996317088603973	6.28863498568535E-02	7.63451457023621E-02	6.36067017912865E-02	6.07606470584869E-02	6.44588842988014E-02	6.98261111974716E-02	5.64803220331669E-02	6.25728964805603E-02	6.16784207522869E-02	0.052583321928978	6.41929283738136E-02	5.25617711246014E-02	0.057419378310442	6.64874538779259E-02	5.81423416733742E-02	1.00052928924561	5.15327639877796E-02	4.31705191731453E-02	5.18202744424343E-02	6.08214549720287E-02	4.57122400403023E-02	4.97540794312954E-02	4.82163317501545E-02	3.01242861896753E-02	4.08071801066399E-02	4.69085685908794E-02	0.039230652153492	4.06838804483414E-02	4.57785576581955E-02	5.61167262494564E-02	5.82090280950069E-02	5.22263459861279E-02	4.88822609186172E-02	0.059987984597683	0.994039356708527	5.12260682880878E-02	5.87823316454887E-02	4.44739460945129E-02	0.057545967400074	2.79342830181122E-02	3.57936285436153E-02	4.53813411295414E-02	 4.78366613388062E-02 
357	0.998171269893646	1.00112974643707	4.65165302157402E-02	5.36359548568726E-02	4.46707494556904E-02	4.09304574131966E-02	4.78890836238861E-02	4.36076074838638E-02	5.77506273984909E-02	5.34431375563145E-02	5.18340915441513E-02	5.94245567917824E-02	4.64157983660698E-02	3.87149564921856E-02	0.044458445161581	4.29249554872513E-02	4.26273941993713E-02	4.73772883415222E-02	0.055178914219141	5.04862554371357E-02	0.052196990698576	5.40804229676723E-02	5.15962839126587E-02	0.047636266797781	5.98649457097054E-02	5.09769059717655E-02	5.27410171926022E-02	6.03076182305813E-02	5.62781468033791E-02	4.86783534288406E-02	4.68953996896744E-02	0.050064280629158	3.87307554483414E-02	0.992956757545471	5.63678294420242E-02	5.13241030275822E-02	5.57095035910606E-02	5.47520220279694E-02	5.38464598357677E-02	5.79784624278545E-02	5.06181232631207E-02	5.36279678344727E-02	6.03052712976933E-02	4.63762059807777E-02	4.98280040919781E-02	4.88696210086346E-02	4.25992421805859E-02	5.19906617701054E-02	4.89476919174194E-02	1.00059688091278	0.063795804977417	6.72093704342842E-02	6.61536082625389E-02	5.57993985712528E-02	0.063020259141922	0.070304162800312	5.11152856051922E-02	6.22943788766861E-02	0.056443452835083	0.059859998524189	6.56190291047096E-02	6.14971704781055E-02	6.05002231895924E-02	5.98011501133442E-02	6.35645762085915E-02	0.999710977077484	4.80033904314041E-02	0.044890396296978	5.28563112020493E-02	5.69118559360504E-02	4.93783950805664E-02	4.90596629679203E-02	4.36150804162025E-02	0.038691870868206	4.18576002120972E-02	4.53221127390862E-02	4.17295210063457E-02	4.37270514667034E-02	5.58178052306175E-02	5.73375448584557E-02	5.82649782299995E-02	0.049957312643528	5.12198023498058E-02	5.47785758972168E-02	0.993075728416443	5.79467862844467E-02	5.50991855561733E-02	5.17211221158504E-02	0.057811938226223	3.45199331641197E-02	3.79906743764877E-02	4.81478795409203E-02	 5.29831200838089E-02 
358	0.996547698974609	1.00720262527466	4.95999753475189E-02	5.10237514972687E-02	0.043212503194809	4.00667674839497E-02	4.40823324024677E-02	4.35635522007942E-02	0.051861084997654	5.53203448653221E-02	0.050784096121788	6.17718249559402E-02	4.13337610661983E-02	4.02286946773529E-02	4.69580553472042E-02	4.34913374483585E-02	4.21056300401688E-02	4.62321266531944E-02	5.56641519069672E-02	5.65271489322186E-02	0.059145126491785	5.78090995550156E-02	4.82746809720993E-02	5.40234707295895E-02	5.51836863160133E-02	4.74250428378582E-02	4.52126041054726E-02	5.31211867928505E-02	5.21846301853657E-02	4.31058965623379E-02	5.12381196022034E-02	4.86371740698814E-02	4.50446158647537E-02	0.993812799453735	5.81027902662754E-02	5.39540834724903E-02	6.12035356462002E-02	5.25862313807011E-02	5.05549907684326E-02	5.36192953586578E-02	4.69444245100021E-02	5.18372096121311E-02	5.93036152422428E-02	4.94947284460068E-02	4.89890202879906E-02	0.048659410327673	5.44209666550159E-02	0.052052415907383	0.052952516824007	0.99982213973999	6.28057718276978E-02	5.84777556359768E-02	6.46983161568642E-02	5.48810325562954E-02	6.10636211931705E-02	6.90620243549347E-02	4.79690842330456E-02	5.68463839590549E-02	5.26650063693523E-02	0.063446931540966	6.28357827663422E-02	0.06157386302948	5.35487830638886E-02	5.09720630943775E-02	6.25326558947563E-02	1.00082516670227	4.68312948942184E-02	4.85994331538677E-02	5.27211502194405E-02	5.44633381068707E-02	5.23636043071747E-02	4.73633483052254E-02	3.97705994546413E-02	3.88515740633011E-02	4.31276299059391E-02	0.03587681427598	4.25447635352612E-02	4.20966148376465E-02	6.37870728969574E-02	5.91996945440769E-02	6.31119608879089E-02	5.11081255972385E-02	0.05177978053689	5.26347234845161E-02	0.998098433017731	6.12586289644241E-02	5.83025962114334E-02	5.51455840468407E-02	5.73899708688259E-02	3.99144291877747E-02	3.90753895044327E-02	5.24517521262169E-02	 5.38350753486156E-02 
359	0.997272491455078	1.00948262214661	4.52662110328674E-02	3.79981324076653E-02	3.86472009122372E-02	3.96163500845432E-02	4.49996776878834E-02	4.75184582173824E-02	4.63066659867764E-02	5.47798871994019E-02	4.86054830253124E-02	6.05703927576542E-02	4.96392734348774E-02	4.44616302847862E-02	0.054634802043438	4.62649054825306E-02	4.58402782678604E-02	4.62963245809078E-02	5.93931674957275E-02	6.15182854235172E-02	5.84275424480438E-02	0.062427781522274	4.51040789484978E-02	5.88618889451027E-02	5.59622943401337E-02	4.83500584959984E-02	4.64816614985466E-02	4.48709428310394E-02	4.87208738923073E-02	4.28461506962776E-02	5.30286319553852E-02	4.74014915525913E-02	4.92715984582901E-02	0.996305406093597	5.18996529281139E-02	5.63993602991104E-02	5.88115900754929E-02	0.046727791428566	4.44923937320709E-02	4.65599559247494E-02	4.09830063581467E-02	4.94516305625439E-02	5.11715896427631E-02	5.41675724089146E-02	5.66047094762325E-02	4.48476187884808E-02	6.64191842079163E-02	4.97968457639217E-02	5.13331182301044E-02	0.996006965637207	6.20176717638969E-02	5.76012767851353E-02	6.06880560517311E-02	0.057120069861412	6.10849037766457E-02	0.067055806517601	5.07360957562923E-02	5.23747131228447E-02	5.34335412085056E-02	6.09671361744404E-02	0.058781024068594	5.38364388048649E-02	4.53793704509735E-02	4.85612377524376E-02	0.057931587100029	1.00213289260864	4.83302921056747E-02	5.19162937998772E-02	5.07573485374451E-02	5.44844381511211E-02	5.14431558549404E-02	4.80868294835091E-02	3.98394130170345E-02	2.97512263059616E-02	4.39305417239666E-02	2.90525201708078E-02	4.08505834639072E-02	3.60109470784664E-02	5.92606626451015E-02	5.83358407020569E-02	6.73191174864769E-02	5.49931935966015E-02	4.83533516526222E-02	5.33936806023121E-02	1.00344622135162	5.66956549882889E-02	6.25322163105011E-02	5.02919517457485E-02	5.44738098978996E-02	3.73896695673466E-02	3.77344489097595E-02	5.24524562060833E-02	 4.82151620090008E-02 
